20791+|EM+|0+|+|Yuki+|H+|Tanaka+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000014-0014-0014-0014-000000000014+|2024-01-01 00:00:00.000&|
20792+|EM+|0+|+|Brandon+|C+|Lewis+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000015-0015-0015-0015-000000000015+|2024-01-01 00:00:00.000&|
20793+|EM+|0+|+|Chloe+|S+|Anderson+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000016-0016-0016-0016-000000000016+|2024-01-01 00:00:00.000&|
20794+|EM+|0+|+|Darius+|W+|Robinson+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000017-0017-0017-0017-000000000017+|2024-01-01 00:00:00.000&|
20795+|EM+|0+|+|Sofia+|G+|Hernandez+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000018-0018-0018-0018-000000000018+|2024-01-01 00:00:00.000&|
20796+|EM+|0+|+|Patrick+|F+|O'Connor+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000019-0019-0019-0019-000000000019+|2024-01-01 00:00:00.000&|
20797+|EM+|0+|+|Mei+|X+|Chen+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000020-0020-0020-0020-000000000020+|2024-01-01 00:00:00.000&|
20798+|EM+|0+|+|Rashid+|A+|Khan+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000021-0021-0021-0021-000000000021+|2024-01-01 00:00:00.000&|
20799+|EM+|0+|+|Ingrid+|B+|Lindqvist+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000022-0022-0022-0022-000000000022+|2024-01-01 00:00:00.000&|
20800+|EM+|0+|+|Devon+|M+|Campbell+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000023-0023-0023-0023-000000000023+|2024-01-01 00:00:00.000&|
20801+|EM+|0+|+|Amara+|J+|Okafor+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000024-0024-0024-0024-000000000024+|2024-01-01 00:00:00.000&|
20802+|EM+|0+|+|Greg+|T+|Patterson+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000025-0025-0025-0025-000000000025+|2024-01-01 00:00:00.000&|
20803+|EM+|0+|+|Leila+|Z+|Ahmadi+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000026-0026-0026-0026-000000000026+|2024-01-01 00:00:00.000&|
20804+|EM+|0+|+|Troy+|S+|Mitchell+|+|1+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000027-0027-0027-0027-000000000027+|2024-01-01 00:00:00.000&|
20805+|EM+|0+|+|Nadia+|Y+|Volkov+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000028-0028-0028-0028-000000000028+|2024-01-01 00:00:00.000&|
20806+|EM+|0+|+|Samuel+|D+|Brooks+|+|2+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000029-0029-0029-0029-000000000029+|2024-01-01 00:00:00.000&|
20807+|EM+|0+|+|Xiomara+|L+|Reyes+|+|0+|+|<IndividualSurvey xmlns="http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/IndividualSurvey"><TotalPurchaseYTD>0</TotalPurchaseYTD></IndividualSurvey>+|WH000030-0030-0030-0030-000000000030+|2024-01-01 00:00:00.000&|
